0,Passenger Plate Default,Texas,,,"Does not use the Letter “O”, only the number zero “0”.",,,,,,,,,,,
Code Number,Plate Type Description,Plate Images,,,Processing Rules,,,,,,,,,,,
,,,,,Current being processed,Add Prefix to plate string?,Add Suffix to plate string?,Omit or Add any characters?,Verify State 2 alpha character abbreviation here,Is there any viewable plate type identifier on plate of any kind?,Is the plate type identified by Vehicle type as viewed in the image?,Is the plate all numeric?,,,,
,Collegiate,Clemson,Florida,Florida A & M,Y,N,N,N,Y,Y - Visible college logo/name  appear on tag,N,N,,,,
,Collegiate,Houston CC,Mary Hardin-Baylor,Penn State,Y,N,N,N,Y,Y - Visible college logo/name  appear on tag,N,N,,,,
,Collegiate,Schreiner,Southwestern,Sul Ross,Y,N,N,N,Y,Y - Visible college logo/name  appear on tag,N,N,,,,
,Colorado School for Miners,,,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Columbia Remembered,,,,Y,N,N,N,Y,Y- Space Shuttle logo appears on left of plate.,N,N,,,,
,Combat Action Badge,2010-2011,Since 2012,Motorcycle,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Combat Action Medal,,,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Combat Action Ribbon,Coast Guard,Navy (Marine),,Y,N,N,N,Y,Y- Ribbon logo appears on left of plate.,N,N,,,,
,Combination,1989-2001,2002-2011,Since 2012,Y,N,N,N,Y,Y - Combination appears across top of plate.,N,N,,,,
,Come and Take It,,,,Y,N,N,N,Y,N,N,N,,,,
,Commendation Medal,Air Force,Army,Coast Guard,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Commendation Medal,Navy (Marine),,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Congressional Medal of Honor,,,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Conquer Cancer,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Conservation,,,,Y,N,N,N,Y,N,N,N,,,,
,Constable,,,,Y,N,N,N,N,N,N,N,,,,
,Converter,,,,Y,N,N,N,Y,Y - Converter appears across top of plate.,N,N,,,,
,Cotton,,,,Y,N,N,N,Y,Y- 'State Fiber & Fabric' at bottom.,N,N,,,,
,Cotton Vehicle,1999-2004,Since 2005,,Y,N,N,N,Y,Y - Combination appears across top of plate.,N,N,,,,
,Custom Vehicle,,,,Y,N,N,N,Y,N,N,N,,,,
,Dallas Cowboys,Blue,Silver,Star,Y,N,N,N,Y,Y- Team logo appears on left of plate.,N,N,,,,
,Dallas Mavericks,Type I,Type II,,Y,N,N,N,Y,Y- Team logo appears on left of plate.,N,N,,,,
,Dallas Stars,2012-2019,Since 2020,Motorcycle,Y,N,N,N,Y,Y- Team logo appears on left of plate.,N,N,,,,
,Daughters of the American Revolution,,,,Y,N,N,N,Y,Y- 'God - Home - Country' at bottom.,N,N,,,,
,Deaf and Hard of Hearing,,,,Y,N,N,N,Y,Y- 'I Love Texas' at bottom.,N,N,,,,
,Deaf Driver Awareness,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Dealer,2012-2019,Since 2020,,Y,N,N,N,Y,Y - Dealer appears on plate.,N,N,,,,
,Deep in the Heart,,,,Y,N,N,N,Y,N,N,N,,,,
,Defense Meritorius Service,,,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Delta Sigma Theta,,,,Y,N,N,N,Y,Y-Sorority logo appears at left of plate.,N,N,,,,
,Desert Storm,,,,Y,N,N,N,Y,N,N,N,,,,
,Desert Storm Southwest Asia Service Medal,,,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Disabled,1999-2004,2005-2007,2008-2011,Y,N,N,N,Y,Y - Wheelchair logo.,N,N,,,,
,Disabled,Since 2012,Motorcycle,,Y,N,N,N,Y,Y - Wheelchair logo.,N,N,,,,
,Disabled Veteran,173rd Airborne,Air Force,Armed Forces,Y,N,N,N,Y,"Y- Branch of Service, Medal, or Ribbon appears to the left of plate; 'DV' in the registration.",N,N,,,,
,Disabled Veteran,Army,Bronze Star,Bronze Star w/Valor,Y,N,N,N,Y,"Y- Branch of Service, Medal, or Ribbon appears to the left of plate; 'DV' in the registration.",N,N,,,,
,Disabled Veteran,Coast Guard,C. G. Commendation,Combat Action Medal,Y,N,N,N,Y,"Y- Branch of Service, Medal, or Ribbon appears to the left of plate; 'DV' in the registration.",N,N,,,,
,Disabled Veteran,Comb Action Ribbon,Combat Medical Badge,Defense Meritorius,Y,N,N,N,Y,"Y- Branch of Service, Medal, or Ribbon appears to the left of plate; 'DV' in the registration.",N,N,,,,
,Disabled Veteran,Defense Superior,Desert Storm,Desert Storm SW Asia,Y,N,N,N,Y,"Y- Branch of Service, Medal, or Ribbon appears to the left of plate; 'DV' in the registration.",N,N,,,,
,Disabled Veteran,Dist Flying Cross,Dist Service,Enduring Freedom,Y,N,N,N,Y,"Y- Branch of Service, Medal, or Ribbon appears to the left of plate; 'DV' in the registration.",N,N,,,,
,Disabled Veteran,Expeditionary Force,Expeditionary Medal,Infantryman Badge,Y,N,N,N,Y,"Y- Branch of Service, Medal, or Ribbon appears to the left of plate; 'DV' in the registration.",N,N,,,,
,Disabled Veteran,Korea Veteran,Kosovo Campaign,Legion of Merit,Y,N,N,N,Y,"Y- Branch of Service, Medal, or Ribbon appears to the left of plate; 'DV' in the registration.",N,N,,,,
,Disabled Veteran,Meritorius Service,Nuclear Deterrence,Operation Iraqi Freedom,Y,N,N,N,Y,"Y- Branch of Service, Medal, or Ribbon appears to the left of plate; 'DV' in the registration.",N,N,,,,
,Disabled Veteran,Purple Heart,Regular,Vietnam Service,Y,N,N,N,Y,"Y- Branch of Service, Medal, or Ribbon appears to the left of plate; 'DV' in the registration.",N,N,,,,
,Disabled Veteran Motorcycle,Air Force,Army,Navy,Y,N,N,N,Y,N,N,N,,,,
,Disabled Veteran Motorcycle (Medal),Bronze Star,Desert Storm,Meritorious Service,Y,N,N,N,Y,N,N,N,,,,
,Disabled Veteran Motorcycle (Medal),Oper Iraqi Freedom,,,Y,N,N,N,Y,N,N,N,,,,
,Disabled Veteran Specialty,,,,Y,N,N,Y - Key the DV,N,Y - Disabled Veteran appears on plate. Wheelchair logo may be present.,N,N,,,,
,Disabled Veteran Surviving Spouse,,,,Y,N,N,N,Y,N,N,N,,,,
,Disabled Veteran US Armed Forces,2002-2004,2005-2009,,Y,N,N,N,Y,N,N,N,,,,
,Disabled Veteran US Army,2010-2016,2017-2019,Since 2020,Y,N,N,N,Y,N,N,N,,,,
,Disabled Veteran US Marine Corps,2010-2015,Since 2016,,Y,N,N,N,Y,N,N,N,,,,
,Disabled Veteran US Navy,2010-2016,Since 2017,,Y,N,N,N,Y,N,N,N,,,,
,Disabled Woman Veteran,,,,Y,N,N,N,Y,N,N,N,,,,
,Disaster Relief,1999-2011,Since 2012,,Y,N,N,N,Y,N,N,N,,,,
,Distinguished Flying Cross Medal,,,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Donate Life Texas.org,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Don't Tread on Me,,,,Y,N,N,N,Y,Y- Coiled Snake logo appears on left of plate.,N,N,,,,
,Ducks Unlimited,Regular,Three Labs,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Eastern Star,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Emergency Medical Services,,Motorcycle,,Y,N,N,N,Y,N,N,N,,,,
,Enduring Freedom,,,,Y,N,N,N,Y,N,N,N,,,,
,Exempt,1989-2004,2005-2011,Since 2012,Y,N,N,N,Y,Y - Exempt appears across top of plate.,N,N,,,,
,Family First,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Farm Tractor,1999-2004,Since 2005,,Y,N,N,N,Y,Y - Farm Trk Trac appears across top of plate.,N,N,,,,
,Farm Trailer,2005-2011,Since 2012,,Y,N,N,N,Y,Y - Farm Trailer appears across top of plate.,N,N,,,,
,Farm Truck,2002-2004,2005-2011,Since 2012,Y,N,N,N,Y,Y - Farm Truck appears across top of plate.,N,N,,,,
,Fertilizer Truck,1999-2001,2002-2011,Since 2012,Y,N,N,N,Y,Y - Fertilizer Trk appears across top of plate.,N,N,,,,
,Fight Terrorism,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Firefighter,,Certified Firefighter,Industrial Firefighter,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Firefighter,Professional,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Florida State University,2013-2019,Since 2020,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Forestry,2005-2012,Since 2013,,Y,N,N,N,Y,Y - Forestry appears across top of plate.,N,N,,,,
,Former POW,,,,Y,N,N,N,Y,N,N,N,,,,
,Fraternity/Sorority,Omega Psi Phi,Zeta Phi Beta,,Y,N,N,N,Y,Y - Visible Greek logo/name  appear on tag,N,N,,,,
,Georgia Tech,,,,Y,N,N,N,Y,Y- School logo appears on left of plate; 'RAMBLIN WRECK' at bottom.,N,N,,,,
,Girl Scouts,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Go Texan Agriculture,Type I,Type II,,Y,N,N,N,Y,Y- Organization logo appears on left of plate; 'Good People. Great Products' on bottom.,N,N,,,,
,God Bless America,,,,Y,N,N,N,Y,Y- Eagle logo appears on left of plate.,N,N,,,,
,God Bless Texas,,,,Y,N,N,N,Y,Y- Texas Flag logo appears on left of plate.,N,N,,,,
,Gold Star Family,2005-2012,Since 2013,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Gold Star Father,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Grambling University,,,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Highway Patrol,2010-2015,Since 2016,,Y,N,N,N,Y,Y- Texas Highway Patrol logo appears on left of plate.,N,N,,,,
,Honorably Discharged,US Air Force,US Army 2010-2017,US Army Since 2018,Y,N,N,N,Y,Y- Branch logo appears on left of plate.,N,N,,,,
,Honorably Discharged,US Marine Corps,US Navy,Motorcycle,Y,N,N,N,Y,Y- Branch logo appears on left of plate.,N,N,,,,
,Honorary Consul,2005-2012,Since 2013,,Y,N,N,N,Y,Y - Honorary Counsel appears across top of plate.,N,N,,,,
,Houston Astros,2008-2017,Since 2018,,Y,N,N,N,Y,Y- Team logo appears on left of plate.,N,N,,,,
,Houston Livestock Show and Rodeo,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Houston Rockets,,,,Y,N,N,N,Y,Y- Team logo appears on left of plate.,N,N,,,,
,Houston Texans,2000-2015,Since 2016,,Y,N,N,N,Y,Y- Team logo appears on left of plate.,N,N,,,,
,Hunt Texas,,,,Y,N,N,N,Y,N,N,N,,,,
,I'd Rather be Golfing,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,IFR,,,,Y,N,N,N,Y,N,N,N,,,,
,IFR Truck,,,,Y,N,N,N,Y,N,N,N,,,,
,Ignite,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate; 'Turning Energy Into Income' on bottom.,N,N,,,,
,In God We Trust,,,,Y,N,N,N,Y,N,N,N,,,,
,Intransit,,,,Y,N,N,N,Y,N,N,N,,,,
,Insure Texas Kids,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Iowa State University,,,,Y,N,N,N,Y,Y- School logo appears on left of plate; 'CYCLONES' on bottom.,N,N,,,,
,Jackson State University,,,,Y,N,N,N,Y,Y- School logo appears on left of plate; 'THEE I LOVE' on bottom.,N,N,,,,
,Join CCA.org,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Joint Service Commendation Medal,,w/Valor,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Juneteenth,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,K9,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate 'SUPPORTING LAW ENFORCEMENT K9 UNITS' on bottom.,N,N,,,,
,Kansas State University,,,,Y,N,N,N,Y,Y- School logo appears on left of plate 'GO WILDCATS!' on bottom.,N,N,,,,
,Kappa Alpha Psi Fraternity,,,,Y,N,N,N,Y,Y- Fraternity logo appears on left of plate.,N,N,,,,
,Keep Texas Beautiful,2005-2018,Since 2019,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Keep Texas Wild,Bluebonnet,Butterfly,Horned Lizard,Y,N,N,N,Y,Y- Named logo appears on left of plate.,N,N,,,,
,Keep Texas Wild,Hummingbird,Snake,,Y,N,N,N,Y,Y- Named logo appears on left of plate.,N,N,,,,
,Kilgore College,,,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Knights of Columbus,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate; 'ONE NATION UNDER GOD' at bottom.,N,N,,,,
,Korea Era Veteran,,,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Korea Veteran,,Defense Medal,,Y,N,N,N,Y,N,N,N,,,,
,Kosovo Campaign Medal,,,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Legendary Food,,,,Y,N,N,N,Y,N,N,N,,,,
,Legion of Merit Medal,,,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Lion's Camp,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate; 'www.lionscamp.com' at bottom.,N,N,,,,
,Log Loader,,,,Y,N,N,N,Y,Y - Log Loader appears across top of plate.,N,N,,,,
,Lone Star Badge,,,,Y,N,N,N,Y,N,N,N,,,,
,Louisiana State University,2016-2020,Since 2021,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Louisiana Tech University,,,,Y,N,N,N,Y,Y- School logo appears on left of plate; 'GO BULLDOGS!' on bottom.,N,N,,,,
,Love Heart,,,,Y,N,N,N,Y,N,N,N,,,,
,Love Honey Bees,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Lubbock Christian University,,,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Machinery,1999-2004,2005-2012,Since 2013,Y,N,N,N,Y,Y - Machinery appears across top of plate.,N,N,,,,
,MADD,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Make a Wish Foundation,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Manufacturer,2002-2017,Since 2018,,Y,N,N,N,Y,Y - Manufacturer appears across top of plate.,N,N,,,,
,March of Dimes,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Marine Corps League,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Marine Corps,,,,Y,N,N,N,Y,N,N,N,,,,
,Master Gardener,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Master Naturalist,,,,Y,N,N,N,Y,Y- Dragonfly logo appears on left of plate.,N,N,,,,
,Merchant Marine,,,,Y,N,N,N,Y,Y- Branch logo appears on left of plate.,N,N,,,,
,Meritorius Service Medal,,,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Michigan State University,,,,Y,N,N,N,Y,Y- School logo appears on left of plate; 'GO SPARTANS' on bottom.,N,N,,,,
,Mighty Fine Burgers,,,,Y,N,N,N,Y,Y- Burger logo appears on left of plate; 'MIGHTY FINE' on bottom.,N,N,,,,
,Military Vehicle,,,,Y,N,N,N,Y,N,N,N,,,,
,Mission Valley,,,,Y,N,N,N,Y,Y- Mission graphic appears on left of plate.,N,N,,,,
,Mississippi State University,Type I,Type II,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Moped,1989-2004,Since 2005,,Y,N,N,N,Y,N,N,N,,,,
,Motor Speedway,,,,Y,N,N,N,Y,Y- Texas Motor Speedway logo appears on left of plate.,N,N,,,,
,Motor Bus,1999-2011,Since 2012,,Y,N,N,N,Y,Y - Motor Bus appears across top of plate.,N,N,,,,
,Motorcycle,1999-2001,2002-2007,2008-2011,Y,N,N,N,Y,N,N,N,,,,
,Motorcycle,Since 2012,US Army,US Marine Corps,Y,N,N,N,Y,N,N,N,,,,
,Motorcycle,US Navy,,,Y,N,N,N,Y,N,N,N,,,,
,Motorcycle (Disabled Veteran),2002-2004,2005-2007,2008-2011,Y,N,N,N,Y,N,N,N,,,,
,Motorcycle (Disabled Veteran),Since 2012,Woman Veteran,,Y,N,N,N,Y,N,N,N,,,,
,Motorcycle (Specialty),Blue Knights,Ntl Breast Cancer,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,National Wild Turkey Foundation,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Native Texan,,,,Y,N,N,N,Y,N,N,N,,,,
,Natural Texas,,,,Y,N,N,N,Y,N,N,N,,,,
,New Texas,,,,Y,N,N,N,Y,N,N,N,,,,
,Notre Dame University,,,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Oil and Gas,,,,Y,N,N,N,Y,N,N,N,,,,
,Oklahoma State University,2014-2016,Since 2017,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Olympic Spirit,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,One State Under God,,,,Y,N,N,N,Y,Y- Calvary logo appears on left of plate.,N,N,,,,
,Operation Enduring Freedom Afghanistan Medal,,,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Operation Iraqi Freedom Medal,,,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,PAR,,,,Y,N,N,N,Y,Y- 'PAR' will be at end of registration.,N,N,,,,
,Paratrooper,,,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Passenger,1990-1995,1996-1998,1999-2004,Y,N,N,N,Y,N,N,N,,,,
,Passenger,2005-2008,Since 2012,Truck,Y,N,N,N,Y,N,N,N,,,,
,Peace Officer,,Purple Heart,Retired,Y,N,N,N,Y,N,N,N,,,,
,Peace Officer's Memorial,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Pearl Harbor Survivor,,,,Y,N,N,N,Y,"Y- Organization logo appears on left of plate; 'December 7, 1941' at bottom.",N,N,,,,
,Permit,1999-2004,2005-2016,Since 2017,Y,N,N,N,Y,Y - Permit appears across top of plate.,N,N,,,,
,PGA Foundation,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Porsche Club,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Prairie View A&M University ,,,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Private Bus,2005-2011,2012-2015,Since 2016,Y,N,N,N,Y,Y - Private Bus appears across top of plate.,N,N,,,,
,Protect Animals,,,,Y,N,N,N,Y,Y- Panda and cub on left of plate.,N,N,,,,
,Protect Birds & Habitat,,,,Y,N,N,N,Y,Y- Bird on left of plate.,N,N,,,,
,Protect Dolphins,,,,Y,N,N,N,Y,Y- Dolphin on left of plate.,N,N,,,,
,Purdue University,,,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
